sale_id,medicine,hospital,quantity,sales_value,year
1,Paracetamol,Medanta,82,3706,2021
2,Metformin,AIIMS,85,3435,2021
3,Amoxicillin,Fortis,105,2735,2021
4,Aspirin,AIIMS,414,224,2021
5,Atorvastatin,Medanta,177,4247,2021
6,Amoxicillin,Fortis,68,355,2021
7,Metformin,Medanta,98,3880,2021
8,Metformin,Fortis,41,2598,2021
9,Paracetamol,Narayana,248,3222,2021
10,Atorvastatin,AIIMS,329,3090,2021
11,Paracetamol,AIIMS,281,3665,2021
12,Paracetamol,Fortis,416,4956,2021
13,Amoxicillin,Medanta,83,1821,2021
14,Ibuprofen,Narayana,484,2594,2021
15,Metformin,Apollo,53,4996,2021
16,Amoxicillin,AIIMS,402,1890,2021
17,Amoxicillin,Apollo,44,1773,2021
18,Aspirin,Manipal,66,3638,2021
19,Ibuprofen,Narayana,178,2229,2021
20,Aspirin,Fortis,135,585,2021
21,Ibuprofen,AIIMS,478,3003,2021
22,Metformin,Narayana,239,4142,2021
23,Paracetamol,AIIMS,493,4724,2021
24,Aspirin,Manipal,159,4620,2021
25,Amoxicillin,Medanta,69,4866,2021
26,Aspirin,AIIMS,305,4175,2021
27,Atorvastatin,Manipal,416,287,2021
28,Ibuprofen,Narayana,260,2915,2021
29,Metformin,Apollo,72,2572,2021
30,Amoxicillin,Medanta,102,2952,2021
31,Metformin,AIIMS,211,950,2021
32,Ibuprofen,Manipal,248,324,2021
33,Ibuprofen,Apollo,374,1170,2021
34,Metformin,Fortis,88,2626,2021
35,Paracetamol,Apollo,415,1039,2021
36,Amoxicillin,AIIMS,31,2894,2021
37,Ibuprofen,Manipal,358,2199,2021
38,Ibuprofen,Apollo,117,3258,2021
39,Paracetamol,Manipal,267,1039,2021
40,Aspirin,Manipal,73,3307,2021
41,Paracetamol,Fortis,358,2270,2021
42,Ibuprofen,Medanta,323,3462,2021
43,Paracetamol,AIIMS,58,648,2021
44,Metformin,Fortis,55,4012,2021
45,Aspirin,Fortis,159,520,2021
46,Amoxicillin,Apollo,497,3511,2021
47,Metformin,AIIMS,46,3356,2021
48,Paracetamol,Narayana,216,4057,2021
49,Ibuprofen,Manipal,125,2343,2021
50,Amoxicillin,Medanta,143,4918,2021
51,Aspirin,Medanta,150,490,2021
52,Ibuprofen,Narayana,15,1012,2021
53,Aspirin,Narayana,386,930,2021
54,Amoxicillin,Manipal,369,2301,2021
55,Aspirin,Narayana,153,825,2021
56,Amoxicillin,Medanta,280,4260,2021
57,Aspirin,Fortis,368,196,2021
58,Ibuprofen,AIIMS,487,958,2021
59,Paracetamol,Apollo,263,2063,2021
60,Ibuprofen,Medanta,251,3513,2021
61,Ibuprofen,Narayana,243,2211,2021
62,Paracetamol,Manipal,14,3994,2021
63,Atorvastatin,AIIMS,132,1631,2021
64,Atorvastatin,Medanta,267,1047,2021
65,Aspirin,Narayana,289,1113,2021
66,Ibuprofen,AIIMS,102,3758,2021
67,Amoxicillin,Medanta,43,2079,2021
68,Ibuprofen,Apollo,137,3641,2021
69,Atorvastatin,Manipal,191,3180,2021
70,Metformin,Fortis,452,798,2021
71,Metformin,Narayana,154,2408,2021
72,Atorvastatin,Medanta,108,891,2021
73,Ibuprofen,Manipal,363,3971,2021
74,Ibuprofen,Fortis,211,996,2021
75,Paracetamol,Apollo,404,329,2021
76,Metformin,Medanta,370,2834,2021
77,Metformin,Fortis,374,2117,2021
78,Amoxicillin,Fortis,423,262,2021
79,Metformin,Fortis,365,2417,2021
80,Amoxicillin,Narayana,313,4023,2021
81,Aspirin,AIIMS,438,4960,2021
82,Amoxicillin,Manipal,316,1376,2021
83,Amoxicillin,AIIMS,229,3426,2021
84,Amoxicillin,Manipal,173,654,2021
85,Metformin,Medanta,458,3152,2021
86,Aspirin,AIIMS,21,4546,2021
87,Amoxicillin,Fortis,220,1573,2021
88,Amoxicillin,Fortis,493,2386,2021
89,Aspirin,Manipal,179,4591,2021
90,Aspirin,Medanta,37,2528,2021
91,Metformin,Fortis,27,4691,2021
92,Amoxicillin,Fortis,206,2890,2021
93,Aspirin,AIIMS,400,3387,2021
94,Aspirin,AIIMS,346,1269,2021
95,Aspirin,Fortis,136,787,2021
96,Paracetamol,Apollo,172,3450,2021
97,Metformin,Apollo,416,1790,2021
98,Paracetamol,Narayana,445,1275,2021
99,Atorvastatin,Apollo,339,1110,2021
100,Amoxicillin,AIIMS,125,3673,2021
101,Paracetamol,Apollo,317,1687,2021
102,Paracetamol,Narayana,201,420,2021
103,Metformin,Apollo,390,4569,2021
104,Aspirin,Narayana,187,4527,2021
105,Paracetamol,Manipal,353,1944,2021
106,Ibuprofen,AIIMS,264,2731,2021
107,Aspirin,Fortis,276,2202,2021
108,Atorvastatin,Narayana,458,1603,2021
109,Amoxicillin,AIIMS,88,3541,2021
110,Paracetamol,Medanta,379,3316,2021
111,Metformin,Medanta,490,2668,2021
112,Amoxicillin,Narayana,357,3085,2021
113,Aspirin,Fortis,178,3160,2021
114,Atorvastatin,Fortis,347,4946,2021
115,Amoxicillin,Narayana,224,1371,2021
116,Ibuprofen,Manipal,226,2931,2021
117,Metformin,Manipal,35,200,2021
118,Aspirin,Apollo,302,2052,2021
119,Paracetamol,Manipal,398,880,2021
120,Aspirin,Medanta,227,854,2021
121,Amoxicillin,Fortis,160,543,2021
122,Metformin,Apollo,60,3168,2021
123,Amoxicillin,Narayana,425,3925,2021
124,Paracetamol,Manipal,183,2281,2021
125,Ibuprofen,Manipal,154,2808,2021
126,Ibuprofen,Apollo,252,1070,2021
127,Atorvastatin,Fortis,286,4440,2021
128,Aspirin,Fortis,31,1152,2021
129,Aspirin,Fortis,444,1370,2021
130,Amoxicillin,AIIMS,387,3224,2021
131,Paracetamol,Fortis,370,549,2021
